date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:24:29	98739/98739	---M-Z	200	added ('OK')	text/html	etag:%22181b3-5c293044236d1-gzip%22	https://themesbrand.com/minible/layouts/layouts-hori-topbar-dark.html	C:/Users/Debanjan/Desktop/minibleadmin/themesbrand.com/minible/layouts/layouts-hori-topbar-dark.html	(from https://themesbrand.com/minible/layouts/index.html)
10:24:29	98767/98767	---M-Z	200	added ('OK')	text/html	etag:%22181cf-5c29304422730-gzip%22	https://themesbrand.com/minible/layouts/layouts-hori-boxed-width.html	C:/Users/Debanjan/Desktop/minibleadmin/themesbrand.com/minible/layouts/layouts-hori-boxed-width.html	(from https://themesbrand.com/minible/layouts/index.html)
10:24:30	98977/98977	---M-Z	200	added ('OK')	text/html	etag:%22182a1-5c293044236d1-gzip%22	https://themesbrand.com/minible/layouts/layouts-hori-preloader.html	C:/Users/Debanjan/Desktop/minibleadmin/themesbrand.com/minible/layouts/layouts-hori-preloader.html	(from https://themesbrand.com/minible/layouts/index.html)
10:24:30	52890/52890	---M-Z	200	added ('OK')	text/html	etag:%22ce9a-5c29304418aed-gzip%22	https://themesbrand.com/minible/layouts/calendar.html	C:/Users/Debanjan/Desktop/minibleadmin/themesbrand.com/minible/layouts/calendar.html	(from https://themesbrand.com/minible/layouts/index.html)
10:24:30	83651/83651	---M-Z	200	added ('OK')	text/html	etag:%22146c3-5c29304419a8d-gzip%22	https://themesbrand.com/minible/layouts/chat.html	C:/Users/Debanjan/Desktop/minibleadmin/themesbrand.com/minible/layouts/chat.html	(from https://themesbrand.com/minible/layouts/index.html)
10:24:30	83357/83357	---M-Z	200	added ('OK')	text/html	etag:%221459d-5c2930441b9ce-gzip%22	https://themesbrand.com/minible/layouts/ecommerce-products.html	C:/Users/Debanjan/Desktop/minibleadmin/themesbrand.com/minible/layouts/ecommerce-products.html	(from https://themesbrand.com/minible/layouts/index.html)
10:24:30	72747/72747	---M-Z	200	added ('OK')	text/html	etag:%2211c2b-5c2930441b9ce-gzip%22	https://themesbrand.com/minible/layouts/ecommerce-product-detail.html	C:/Users/Debanjan/Desktop/minibleadmin/themesbrand.com/minible/layouts/ecommerce-product-detail.html	(from https://themesbrand.com/minible/layouts/index.html)
10:24:31	69287/69287	---M-Z	200	added ('OK')	text/html	etag:%2210ea7-5c2930441b9ce-gzip%22	https://themesbrand.com/minible/layouts/ecommerce-orders.html	C:/Users/Debanjan/Desktop/minibleadmin/themesbrand.com/minible/layouts/ecommerce-orders.html	(from https://themesbrand.com/minible/layouts/index.html)
10:24:31	73151/73151	---M-Z	200	added ('OK')	text/html	etag:%2211dbf-5c2930441b9ce-gzip%22	https://themesbrand.com/minible/layouts/ecommerce-customers.html	C:/Users/Debanjan/Desktop/minibleadmin/themesbrand.com/minible/layouts/ecommerce-customers.html	(from https://themesbrand.com/minible/layouts/index.html)
10:24:31	55490/55490	---M-Z	200	added ('OK')	text/html	etag:%22d8c2-5c2930441b9ce-gzip%22	https://themesbrand.com/minible/layouts/ecommerce-cart.html	C:/Users/Debanjan/Desktop/minibleadmin/themesbrand.com/minible/layouts/ecommerce-cart.html	(from https://themesbrand.com/minible/layouts/index.html)
10:24:31	90616/90616	---M-Z	200	added ('OK')	text/html	etag:%22161f8-5c2930441b9ce-gzip%22	https://themesbrand.com/minible/layouts/ecommerce-checkout.html	C:/Users/Debanjan/Desktop/minibleadmin/themesbrand.com/minible/layouts/ecommerce-checkout.html	(from https://themesbrand.com/minible/layouts/index.html)
